v_bl,i_bl,v_sl,i_sl,v_wl,i_wl
-0.8003609473077804,-4.4076436685658186e-07,-0.0005564678893679528,4.484588336024512e-07,0.3996004704010985,7.985640064802566e-10
-0.7995754160753717,-3.249373813674042e-07,-0.00029279326322434376,3.4364896383655667e-07,0.2992687232364275,1.5401873222208553e-10
-0.7995186527462235,-2.2750090720410566e-07,-0.0005674543321241308,2.398116747399069e-07,0.1997609583731783,7.484327073709113e-10
-0.799399632862525,-1.3333262631859669e-07,-0.0003678672887223399,1.5279431015812143e-07,0.09937427905507965,8.093064277187179e-10
-0.7995259770467588,-7.561300944642082e-08,-0.0005235085610994188,9.764326515030961e-08,-9.686437255110188e-05,-3.293902234721941e-10
-0.7994179436138634,-4.5589945775865245e-08,-0.000580271848672228,6.480436490707043e-08,-0.10067397515586757,1.425205245340558e-09
-0.7994161125387294,-3.4400538282415485e-08,-0.0005143531921371583,5.3362239386758094e-08,-0.20082810835778736,4.977762118254881e-10
-0.8000460023847639,-3.7280979815379165e-08,-0.000265327156334898,5.954098716771635e-08,-0.3005958854139296,1.5576951072720266e-09
-0.7995131595208219,-7.638851293607264e-08,-0.000322090443907041,9.466831251503881e-08,-0.40080128862571546,2.972510153907127e-10
-0.7993721667355179,-1.7271712497131444e-07,-0.0003404011818328941,1.8734952922937105e-07,-0.5000929870188142,9.131498330151583e-10
-0.7997090845601407,-3.035556422957598e-07,-0.00036969836251559134,3.204786596579788e-07,-0.6008312321188535,1.3679123320744099e-09
-0.7994637204922089,-6.122060311746235e-07,-0.000580271848672228,6.143124430190586e-07,-0.7009304331673448,5.085186330639494e-10
-0.7995955579018442,-9.466142145309779e-07,-0.0004795627900760391,9.326323749935756e-07,-0.800908783478295,9.167306400942112e-10
-0.7995094973705544,-1.2594190863900847e-06,-0.00030561077977244095,1.3109662553220033e-06,-0.9009347416555489,8.880841834604857e-10
-0.7998335976692407,-2.0624529499178704e-06,-0.0004575899045643492,2.0567067861070412e-06,-1.0002795411302947,1.0026700099953875e-09
-0.7997347196120144,-2.506705663271852e-06,-0.0007212645307079583,2.5823008218816026e-06,-1.1011477923267805,6.231044595975485e-10
-0.8007546284615514,-3.576291154812022e-06,-0.00038617802665019143,3.586461757542403e-06,-1.2012195272985582,8.27210463113982e-10
-0.799648659080725,-4.40513820592372e-06,-0.0004685763473198611,4.337294034183936e-06,-1.3013352079930787,3.115742437069241e-10
-0.7989784855817469,-5.06680886191044e-06,-0.0006590080217573932,5.170280772061155e-06,-1.4018775284125569,1.546952686034868e-09
-0.7991506066443255,-5.535877686933078e-06,-0.0006077379555623399,5.971858875385172e-06,-1.501231483246207,1.6579577054894142e-09
-0.7987422768894837,-5.912993955326341e-06,-0.00056928540591605,5.8157882832884234e-06,-1.6016053450618397,2.9367020831165983e-10
-0.7995900646764427,-7.496239722543766e-06,-0.0004191373549180593,7.228261468140797e-06,-1.7015031282144282,5.300034755382664e-10
-0.7983083120827684,-9.351133283562673e-06,-0.0004136441335396372,9.30071645300362e-06,-1.801521762104559,9.776043604394122e-10
-0.797645462884326,-1.0255481138701994e-05,-0.0005125221183439069,1.0820516775236325e-05,-1.9017051924549735,2.36377295044209e-10
-0.7975502469773669,-1.0499764737940281e-05,-0.00018292883566389603,1.0160592185853535e-05,-2.0009657626277964,6.052004242035868e-10
